Site,Slot,Loop,Pattern Name,Linear ADDR,ROW,BANK,COL,EXP Value,RD Value,Re-read value1,Re-read value2,Re-read value3,XOR Val1
15,7,1,movinv8,0x4CDD2F6C,0x1BA5,7,0x1B0,20,A0,A0,A0,A0,80
15,7,1,movinv8,0x4CDD2F02,0x1BA5,7,0x8,20,A0,A0,A0,A0,80
15,7,1,btf,0x5FFFEF40,0x7FFD,7,0x100,F7F7080808080808,F7F7088808880888,F7F7088808880888,F7F7088808880888,F7F7088808880888,8000800080
15,7,1,btf,0x5FFFEF48,0x7FFD,7,0x120,F7F7080808080808,F7F7088808880888,F7F7088808880888,F7F7088808880888,F7F7088808880888,8000800080
15,7,1,btf,0x5FFFEF50,0x7FFD,7,0x140,F7F7080808080808,F7F7088808880888,F7F7088808880888,F7F7088808880888,F7F7088808880888,8000800080
15,7,1,btf,0x5FFFEF58,0x7FFD,7,0x160,F7F7080808080808,F7F7088808880888,F7F7088808880888,F7F7088808880888,F7F7088808880888,8000800080
15,7,1,btf,0x5FFFEF60,0x7FFD,7,0x180,F7F7080808080808,F7F7088808880888,F7F7088808880888,F7F7088808880888,F7F7088808880888,8000800080
15,7,1,btf,0x5FFFEF68,0x7FFD,7,0x1A0,F7F7080808080808,F7F7088808880888,F7F7088808880888,F7F7088808880888,F7F7088808880888,8000800080
15,7,1,btf,0x5FFFEF70,0x7FFD,7,0x1C0,F7F7080808080808,F7F7088808880888,F7F7088808880888,F7F7088808880888,F7F7088808880888,8000800080
15,7,1,btf,0x5FFFEF78,0x7FFD,7,0x1E0,F7F7080808080808,F7F7088808880888,F7F7088808880888,F7F7088808880888,F7F7088808880888,8000800080
15,7,1,btf,0x5FFFEF00,0x7FFD,7,0x0,F7F7080808080808,F7F7088808880888,F7F7088808880888,F7F7088808880888,F7F7088808880888,8000800080
15,7,1,btf,0x5FFFEF08,0x7FFD,7,0x20,F7F7080808080808,F7F7088808880888,F7F7088808880888,F7F7088808880888,F7F7088808880888,8000800080
